"WardCode","WardName","borough","NESW","AreaSqKm","lon","lat","IncomeScor","LivingEnSc","NoEmployee","GrenSpace","PopDen","BornUK","NotBornUK","NoCTFtoH","NoDwelling","NoFlats","NoHouses","NoOwndDwel","MedHPrice"
"E05000026","Abbey","Barking and Dagenham","East",1.3,0.077935,51.539711,0.27,42.76,7900,19.6,9884.6,5459,7327,0.1,4733,3153,1600,1545,177000
"E05000027","Alibon","Barking and Dagenham","East",1.4,0.14827,51.545589,0.28,27.96,800,22.4,7464.3,7824,2561,0.1,4045,574,3471,1849,160000
"E05000028","Becontree","Barking and Dagenham","East",1.3,0.118957,51.554534,0.25,31.59,1100,3,8923.1,8075,3470,0.1,4378,837,3541,2093,170000
"E05000029","Chadwell Heath","Barking and Dagenham","East",3.4,0.139985,51.584751,0.27,34.78,1700,56.4,2970.6,7539,2482,0.4,4050,1400,2662,2148,195000
"E05000030","Eastbrook","Barking and Dagenham","East",3.5,0.173581,51.553648,0.19,21.25,4000,51.1,3014.3,8514,1992,0.5,3976,742,3235,2646,191750
"E05000031","Eastbury","Barking and Dagenham","East",1.4,0.105683,51.535896,0.27,31.16,1000,18.1,8357.1,7880,3744,0,4321,933,3388,1913,167250
"E05000032","Gascoigne","Barking and Dagenham","East",1.1,0.082947,51.532413,0.36,40.03,2800,20.3,11409.1,6447,6005,0.1,4662,3368,1343,1233,145000
"E05000033","Goresbrook","Barking and Dagenham","East",1.3,0.135579,51.53609,0.27,27.38,1300,17.1,8730.8,8244,3023,0.1,4293,657,3639,1938,155000
"E05000034","Heath","Barking and Dagenham","East",2,0.154339,51.557524,0.31,31.53,2500,38.4,5425,8183,2603,0,4409,1606,2812,1832,155000
"E05000035","Longbridge","Barking and Dagenham","East",1.6,0.096579,51.543838,0.17,23.57,1600,30.3,7218.8,7660,3818,7.7,3787,852,2936,2618,250000
"E05000036","Mayesbrook","Barking and Dagenham","East",1.9,0.11917,51.54404,0.29,28.01,800,45.8,5473.7,7759,2583,0.1,3986,616,3371,1752,160000
"E05000037","Parsloes","Barking and Dagenham","East",1.2,0.134974,51.550182,0.28,29.2,600,17.5,8250,7547,2292,0.1,3844,489,3355,1849,157000
"E05000038","River","Barking and Dagenham","East",3.6,0.152948,51.52433,0.25,33.85,6100,20.8,3055.6,7551,3372,0.1,4090,590,3507,2093,153500
"E05000039","Thames","Barking and Dagenham","East",7.9,0.118563,51.523614,0.3,29.8,9100,44.4,1367.1,6742,3986,0,3999,1818,2195,1475,167500
"E05000040","Valence","Barking and Dagenham","East",1.3,0.134158,51.560573,0.28,36.62,1800,16,7653.8,7570,2297,0,3917,521,3396,1822,184000
"E05000041","Village","Barking and Dagenham","East",2.1,0.166279,51.539049,0.28,36,900,48,5166.7,7986,2801,0.2,4504,2205,2303,1851,156000
"E05000042","Whalebone","Barking and Dagenham","East",1.6,0.142166,51.567745,0.19,33.5,3400,16.4,6656.3,7484,3091,0.3,4085,1136,2955,2573,189000
"E05000043","Brunswick Park","Barnet","North",3.2,-0.14488,51.628592,0.13,17.77,4100,28,5140.6,11327,5067,22.8,6166,1161,5025,4658,343000
"E05000044","Burnt Oak","Barnet","West",2.1,-0.259675,51.603533,0.27,23.56,2200,20.2,8690.5,9633,8584,1.4,6502,2482,4029,2618,230000
"E05000045","Childs Hill","Barnet","West",3.1,-0.202648,51.565084,0.14,31.98,5600,15.1,6483.9,9783,10266,33.1,7944,4506,3539,3513,387493
"E05000046","Colindale","Barnet","West",2.6,-0.245579,51.594074,0.28,26.24,9000,20.8,6596.2,8087,9011,1.8,6422,3872,2588,2415,242250
"E05000047","Coppetts","Barnet","North",2.7,-0.151847,51.611192,0.17,24.33,3400,40.3,6407.4,11028,6222,20.8,7102,3784,3352,3992,290000
"E05000048","East Barnet","Barnet","North",3.8,-0.161029,51.646736,0.12,17.65,3400,34.9,4263.2,12358,3779,20.9,6625,2318,4321,4481,305000
"E05000049","East Finchley","Barnet","North",2.5,-0.168936,51.595052,0.17,29.26,3600,37.8,6420,10492,5497,17.8,6773,3877,2928,3385,337500
"E05000050","Edgware","Barnet","West",5.6,-0.281736,51.626374,0.16,21,7000,54,3000,10469,6259,40.9,6156,2275,3892,3685,300000
"E05000051","Finchley Church End","Barnet","North",2.7,-0.201174,51.59628,0.1,25.88,5400,13.7,5833.3,9282,6433,47.3,6438,3591,2917,3929,385000
"E05000052","Garden Suburb","Barnet","North",4.7,-0.183306,51.580972,0.05,27.86,5600,24.2,3404.3,10200,5729,62.3,6583,2561,4041,4163,575000
"E05000053","Golders Green","Barnet","West",3,-0.212704,51.574816,0.16,27.57,5600,14.6,6300,10198,8620,36.1,6275,2382,3991,3086,429250
"E05000054","Hale","Barnet","North",5.4,-0.256785,51.626113,0.16,17.71,2700,48.8,3240.7,11214,6223,18.9,6317,1529,4798,4161,319975
"E05000055","Hendon","Barnet","North",2.8,-0.22438,51.591133,0.14,31.26,7400,16.4,6607.1,9567,8905,23.7,7157,4242,3013,3447,325000
"E05000056","High Barnet","Barnet","North",8.3,-0.212531,51.654923,0.08,22.35,5800,47.9,1849.4,11921,3386,30.3,6790,2656,4138,4635,330000
"E05000057","Mill Hill","Barnet","North",9.4,-0.224664,51.613852,0.14,19.88,6600,59,1968.1,12095,6356,31.8,7119,2384,4738,4452,370000
"E05000058","Oakleigh","Barnet","North",3.3,-0.170692,51.634317,0.11,19.56,4200,15.3,4803,11305,4506,39.3,6277,2508,3777,4384,320000
"E05000059","Totteridge","Barnet","North",8.8,-0.20118,51.629865,0.08,17.9,4900,57.7,1727.3,9459,5700,55.9,6028,1980,4049,3923,482475
"E05000060","Underhill","Barnet","North",4.6,-0.218743,51.644213,0.16,15.92,4700,43.7,3478.3,11875,4040,15.3,6459,2076,4386,3889,297000
"E05000061","West Finchley","Barnet","North",2.2,-0.187375,51.607155,0.11,31.5,7300,13.4,7545.5,9149,7384,26,6833,3777,3085,3627,292500
"E05000062","West Hendon","Barnet","West",3.4,-0.235358,51.578382,0.16,33.53,9000,32,5132.4,8083,9319,21.5,6430,2999,3466,3057,310000
"E05000063","Woodhouse","Barnet","North",2.6,-0.171772,51.610921,0.15,29.72,5600,19.3,6788.5,10365,7210,20.9,6950,3357,3672,4041,280000
"E05000064","Barnehurst","Bexley","East",2.9,0.161836,51.457658,0.1,22.59,2300,35.8,3603.4,9580,838,4.4,4302,715,3589,3399,223500
"E05000065","Belvedere","Bexley","East",3.2,0.151273,51.493436,0.17,32.58,3800,33.2,3734.4,9462,2428,1.6,4984,1831,3157,3106,168500
"E05000066","Blackfen and Lamorbey","Bexley","East",1.7,0.091724,51.445503,0.06,17.62,1200,9.5,6264.7,9866,750,5.9,4233,332,3901,3630,235000
"E05000067","Blendon and Penhill","Bexley","East",2.1,0.11696,51.446014,0.06,18.37,1200,13.9,5214.3,10054,856,13.5,4335,438,3897,3755,239000
"E05000068","Brampton","Bexley","East",2,0.139193,51.468236,0.07,16.92,1300,9.2,5300,9445,1101,6.7,4232,410,3822,3710,250000
"E05000069","Christchurch","Bexley","East",2.5,0.140968,51.455134,0.08,24.41,8000,17.3,4400,9709,1256,10.9,4568,1004,3564,3609,232750
"E05000070","Colyers","Bexley","East",1.6,0.170375,51.469995,0.18,22.52,700,13.1,6968.8,9762,1366,1.7,4514,1230,3285,2777,200000
"E05000071","Crayford","Bexley","East",4,0.181912,51.453159,0.15,28.06,6300,42.7,2812.5,10109,1117,0.2,4834,1178,3662,3177,172650
"E05000072","Cray Meadows","Bexley","South",7.2,0.133513,51.42352,0.16,27.4,6100,61.6,1562.5,10094,1113,8.1,4810,1514,3296,3152,227000
"E05000073","Danson Park","Bexley","East",2.7,0.118156,51.457113,0.09,25.67,2500,36.3,4037,9432,1432,9,4563,989,3576,3517,220000
"E05000074","East Wickham","Bexley","East",2.2,0.096981,51.468115,0.12,23.28,1400,26.5,4954.5,9408,1450,2.8,4309,690,3619,3252,222500
"E05000075","Erith","Bexley","East",4.8,0.169605,51.488122,0.18,25.26,5500,44.6,2520.8,9271,2782,2.5,5067,2249,2844,2868,159950
"E05000076","Falconwood and Welling","Bexley","East",1.7,0.096416,51.458119,0.07,18.74,1500,0.7,6382.4,9457,1343,2.9,4251,403,3848,3652,225000
"E05000077","Lesnes Abbey","Bexley","East",2.4,0.129925,51.484305,0.15,21.65,500,36.9,4750,8700,2646,2.4,4559,1203,3363,3037,218000
"E05000078","Longlands","Bexley","South",2.6,0.093916,51.427195,0.08,25.78,3700,30,4038.5,9411,1031,14.7,4606,1820,2797,3380,232748
"E05000079","North End","Bexley","East",5.7,0.199,51.473369,0.24,25.81,2900,65.3,2035.1,9388,2178,0,4716,1566,3157,2196,160000
"E05000080","Northumberland Heath","Bexley","East",1.8,0.152196,51.474878,0.1,20.68,1600,13.5,5916.7,9560,1038,2,4126,426,3700,3251,225000
"E05000081","St Mary's","Bexley","East",4.4,0.146409,51.439597,0.06,16.1,2100,46.8,2386.4,9642,849,25,4390,544,3846,3688,280000
"E05000082","St Michael's","Bexley","East",1.4,0.118435,51.470512,0.08,22.02,900,5.9,7964.3,9842,1293,1.4,4073,312,3761,3447,220000
"E05000083","Sidcup","Bexley","East",2.7,0.105707,51.434011,0.06,21.47,6500,25.8,4037,9693,1151,24.7,4650,1641,3010,3410,245500
"E05000084","Thamesmead East","Bexley","East",4.8,0.135695,51.503444,0.23,19.9,3400,70.5,2531.3,7482,4612,0,4915,2139,2786,1895,120000
"E05000085","Alperton","Brent","West",2.1,-0.294514,51.540475,0.17,26.03,8300,17.7,6690.5,4648,9369,0.4,4434,1689,2755,2358,240000
"E05000086","Barnhill","Brent","West",3,-0.27951,51.571133,0.26,24.87,3400,31.6,5283.3,6858,8914,20.3,5539,2524,3022,2475,337500
"E05000087","Brondesbury Park","Brent","West",1.7,-0.218886,51.542882,0.18,38.74,2000,9.6,7676.5,6875,6148,20.3,5425,3768,1760,2392,368250
"E05000088","Dollis Hill","Brent","West",2.3,-0.23656,51.564342,0.29,25.41,5100,26.6,5847.8,6112,7313,5.9,4351,1533,2824,2267,300000
"E05000089","Dudden Hill","Brent","West",1.7,-0.241584,51.554218,0.24,35.04,3300,11.5,8882.4,6602,8457,7.5,5289,2348,2976,2324,375000
"E05000090","Fryent","Brent","West",2.7,-0.265113,51.582058,0.21,29.92,3900,39.3,5000,5930,7515,7,4492,1682,2821,2532,288500
"E05000091","Harlesden","Brent","West",1.1,-0.250733,51.540937,0.36,46.38,1800,8.9,15636.4,8088,9074,1.1,6637,4860,1925,1566,223000
"E05000092","Kensal Green","Brent","West",1.1,-0.236782,51.534979,0.24,44.55,1700,6.9,13590.9,7429,7486,2.1,6066,3936,2248,2263,332000
"E05000093","Kenton","Brent","West",2.3,-0.299921,51.581338,0.13,19.53,2300,17,5282.6,5598,6535,34.8,3941,815,3138,2849,382670
"E05000094","Kilburn","Brent","West",0.9,-0.198667,51.536894,0.31,51.9,2700,11.2,18944.4,8824,8165,4.2,7658,6757,1083,1929,340000
"E05000095","Mapesbury","Brent","West",1.4,-0.21873,51.553813,0.19,43.94,2400,9.7,11107.1,7409,8120,14.5,6373,4869,1627,2212,330000
"E05000096","Northwick Park","Brent","West",2.7,-0.317961,51.569029,0.15,20.91,6800,32,4759.3,5978,6833,26.2,4020,1401,2915,2615,366000
"E05000097","Preston","Brent","West",2.4,-0.297085,51.566154,0.2,23.35,3400,19.1,6479.2,6609,8865,13.1,5109,1965,3153,2828,316000
"E05000098","Queens Park","Brent","West",1.5,-0.213784,51.535166,0.16,45.54,4200,19.1,10233.3,8873,6408,18.3,6371,4085,2361,2812,460000
"E05000099","Queensbury","Brent","West",2,-0.272978,51.592336,0.19,23.72,3900,13.7,7600,6409,8746,4.3,4802,1256,3554,2911,310000
"E05000100","Stonebridge","Brent","West",4.1,-0.266872,51.542005,0.43,38.57,17000,16.3,4134.1,8649,8254,0.7,6013,3332,2689,1228,204000
"E05000101","Sudbury","Brent","West",2.1,-0.314936,51.556207,0.22,29.45,2200,34.6,7142.9,5653,9297,4.9,4938,2194,2750,2474,250000
"E05000102","Tokyngton","Brent","West",2.8,-0.278461,51.553743,0.19,25.95,13200,19.7,5410.7,5601,9504,3.6,5033,2122,2929,2570,265000
"E05000103","Welsh Harp","Brent","West",2.3,-0.257807,51.56657,0.25,26.48,1600,34.2,6000,6185,7568,3.9,4912,1931,2992,2471,250000
"E05000104","Wembley Central","Brent","West",1.6,-0.29726,51.549983,0.22,35.56,5400,20.1,9218.8,4646,10081,3,4527,2057,2483,2165,250000
"E05000105","Willesden Green","Brent","West",1.5,-0.23496,51.545523,0.29,47.88,3300,36.8,10433.3,6812,8775,1.2,6153,4561,1652,1719,250000
"E05000106","Bickley","Bromley","South",4.9,0.046326,51.401639,0.06,10.76,3700,22.1,3091.8,12726,2372,47.9,6145,1462,4711,4813,380000
"E05000107","Biggin Hill","Bromley","South",8.3,0.023668,51.316302,0.06,6.5,2100,71.4,1204.8,9448,503,17,4032,532,3500,3472,246000
"E05000108","Bromley Common and Keston","Bromley","South",8.3,0.040774,51.372561,0.12,16.9,4700,59.3,1825.3,13289,1824,23.6,6499,1320,5189,4589,293750
"E05000109","Bromley Town","Bromley","South",3.7,0.014716,51.403722,0.09,23.13,23300,18,4567.6,13476,3350,18.9,7744,3534,4300,4910,250000
"E05000110","Chelsfield and Pratts Bottom","Bromley","South",12.6,0.113207,51.351036,0.06,7.03,2800,69.2,1154.8,13101,1406,28.6,5947,477,5470,5105,294500
"E05000111","Chislehurst","Bromley","South",10.4,0.074291,51.413094,0.07,16.43,4300,60,1432.7,12952,1879,44.5,6401,1473,4939,4877,349995
"E05000112","Clock House","Bromley","South",2.3,-0.047836,51.404966,0.1,32.55,2900,16.3,6782.6,12861,2699,7.9,7149,3007,4179,4749,250000
"E05000113","Copers Cope","Bromley","South",3.3,-0.019418,51.411809,0.08,25.69,4600,17.1,4681.8,12264,3128,18.4,8378,5911,2492,5015,247000
"E05000114","Cray Valley East","Bromley","South",13.3,0.13166,51.39167,0.2,19.1,6300,76.4,1165.4,13538,1907,3.3,6860,1554,5322,4232,200000
"E05000115","Cray Valley West","Bromley","South",3.9,0.102654,51.40035,0.22,17.4,3700,24.2,4320.5,14942,1827,8.3,6922,1218,5707,4034,200000
"E05000116","Crystal Palace","Bromley","Central",2.3,-0.068834,51.416993,0.23,45.16,1700,49.3,5347.8,8544,3711,1.6,6226,5174,1118,2225,195000
"E05000117","Darwin","Bromley","South",29,0.057218,51.327151,0.07,12.62,1200,88.8,177.6,4797,313,40.7,2169,262,1907,1743,355000
"E05000118","Farnborough and Crofton","Bromley","South",7,0.066931,51.36539,0.06,8.73,6200,49.7,2100,13163,1469,38.2,6336,824,5526,5132,310000
"E05000119","Hayes and Coney Hall","Bromley","South",10.8,0.01156,51.369783,0.05,11.75,2800,69.5,1476.9,14519,1387,34.1,6261,849,5412,5405,333250
"E05000120","Kelsey and Eden Park","Bromley","South",5.2,-0.029733,51.393657,0.07,17.92,3800,43.6,3067.3,13729,2163,27.2,6547,1471,5087,5085,330000
"E05000121","Mottingham and Chislehurst North","Bromley","South",2.4,0.04159,51.432308,0.23,19.73,1100,44.4,4187.5,8477,1510,4.9,4488,1069,3419,2401,185500
"E05000122","Orpington","Bromley","South",4.3,0.109417,51.371321,0.13,15.1,6900,26.3,3581.4,13493,1818,19.7,6483,1233,5254,4793,250000
"E05000123","Penge and Cator","Bromley","South",3,-0.048325,51.415958,0.2,36.83,4500,25.2,5800,12856,4470,7.9,7905,4165,3790,3763,250000
"E05000124","Petts Wood and Knoll","Bromley","South",4.3,0.078545,51.385897,0.04,10.45,2200,24.6,3186,12207,1444,51,5562,502,5060,4873,423000
"E05000125","Plaistow and Sundridge","Bromley","South",4,0.023301,51.417777,0.13,23.78,3000,40.5,3800,12570,2552,17.3,6836,2335,4539,4303,250000
"E05000126","Shortlands","Bromley","South",2.5,-0.001732,51.396437,0.05,13.79,1000,3.1,3940,8249,1575,50.1,4287,1549,2756,3320,325000
"E05000127","West Wickham","Bromley","South",4.4,-0.011556,51.377928,0.05,14.61,3100,32.6,3397.7,13447,1437,41.2,5859,952,4910,4982,370000
"E05000128","Belsize","Camden","Central",0.8,-0.166587,51.546106,0.13,40.95,3100,1.3,15875,6824,5878,40.3,6189,5661,819,2557,650000
"E05000129","Bloomsbury","Camden","Central",1,-0.131436,51.521987,0.11,54.65,69400,9.2,10800,5317,5575,24.5,5172,5226,197,1293,365000
"E05000130","Camden Town with Primrose Hill","Camden","Central",1.2,-0.149107,51.540313,0.19,41.64,14000,15.2,10541.7,7720,4893,35.1,6174,5054,1280,2039,615000
"E05000131","Cantelowes","Camden","Central",0.8,-0.133704,51.545052,0.22,41.02,2400,7.4,14875,7648,4277,17.7,5163,4357,919,1567,413250
"E05000132","Fortune Green","Camden","West",1,-0.201651,51.553098,0.14,32.76,2100,18,11750,6643,5097,23.9,5256,4333,1225,2140,455000
"E05000133","Frognal and Fitzjohns","Camden","North",1.5,-0.183819,51.554595,0.07,37.25,4500,5.7,7966.7,6170,5816,63.1,5127,4248,1044,2444,795000
"E05000134","Gospel Oak","Camden","Central",0.7,-0.156242,51.552889,0.24,32.07,2100,15.9,16071.4,7334,3930,17.8,4933,4108,928,1540,415000
"E05000135","Hampstead Town","Camden","North",2.5,-0.174064,51.560293,0.07,33.87,10500,54.2,4520,6655,4615,55.9,5385,3959,1589,2640,824900
"E05000136","Haverstock","Camden","Central",0.7,-0.153514,51.546647,0.27,35.48,2800,8.2,17642.9,7875,4489,14.2,5367,4692,716,1455,375750
"E05000137","Highgate","Camden","North",3.2,-0.1552,51.564533,0.17,33.88,2500,65.2,3421.9,7989,2966,30.9,4928,3441,1540,2268,487500
"E05000138","Holborn and Covent Garden","Camden","Central",1.2,-0.117734,51.519008,0.21,59.02,104400,7.5,10833.3,7088,5935,27.8,6495,6317,275,1404,535000
"E05000139","Kentish Town","Camden","Central",1,-0.140242,51.551484,0.21,40.83,9300,5.3,13400,8828,4589,21.3,5807,4555,1361,2063,420000
"E05000140","Kilburn","Camden","West",0.7,-0.190731,51.540348,0.28,43.34,3400,13.4,17214.3,6274,5764,8.2,5823,5548,467,1372,381000
"E05000141","King's Cross","Camden","Central",0.6,-0.121304,51.527145,0.18,53.14,16000,13.5,19583.3,5814,6029,12.5,4713,4666,256,819,337500
"E05000142","Regent's Park","Camden","Central",1.3,-0.142545,51.530772,0.24,47.25,26900,27,10384.6,7418,6110,14.9,5831,5337,621,1175,375000
"E05000143","St Pancras and Somers Town","Camden","Central",1.4,-0.130295,51.535319,0.32,34.96,16300,13.5,9857.1,7962,5856,5.4,5655,5291,407,932,365000
"E05000144","Swiss Cottage","Camden","Central",1.3,-0.176696,51.541997,0.14,37.64,4000,14.5,9923.1,6296,6604,39.8,6060,5528,682,2410,570000
"E05000145","West Hampstead","Camden","West",0.9,-0.191672,51.548528,0.15,41.52,4100,8.8,13388.9,6840,5220,15.3,5750,5202,854,1924,428975
"E05000146","Addiscombe","Croydon","South",1.6,-0.081616,51.380773,0.15,43.05,4300,2.3,10593.8,11063,5820,2.4,7722,3691,4118,3980,210000
"E05000147","Ashburton","Croydon","South",2.7,-0.058282,51.384217,0.16,19.86,1700,22.2,5481.5,11433,3288,11.2,5635,1018,4617,3768,272500
"E05000148","Bensham Manor","Croydon","South",1.4,-0.106393,51.397121,0.17,35.25,1600,7.7,11607.1,8865,7336,0.7,6035,1975,4100,3515,191630
"E05000149","Broad Green","Croydon","South",2.7,-0.116021,51.379666,0.25,39.4,11500,4.5,6925.9,10044,8608,0.5,7143,3092,4095,3032,180818
"E05000150","Coulsdon East","Croydon","South",7.7,-0.123514,51.304976,0.1,7.76,2500,56.8,1597.4,10798,1446,30.6,4993,537,4456,3975,295000
"E05000151","Coulsdon West","Croydon","South",5,-0.142434,51.322009,0.08,15,3400,17.1,2700,11177,2272,41.8,4896,570,4328,4017,305000
"E05000152","Croham","Croydon","South",3.5,-0.088439,51.355188,0.1,33.1,4700,19.1,4528.6,11949,3841,23.3,7090,3548,3670,4303,215000
"E05000153","Fairfield","Croydon","South",3.8,-0.085882,51.370928,0.13,37.85,35300,17.5,4381.6,9555,7014,12.9,8286,5799,2562,3335,207500
"E05000154","Fieldway","Croydon","South",1.5,-0.017933,51.353509,0.35,17.28,900,22.8,7666.7,9265,2214,0,4052,1394,2659,1349,162000
"E05000155","Heathfield","Croydon","South",8.7,-0.041981,51.356858,0.12,14.77,2400,61.3,1523,10978,2235,17.4,5513,1477,4036,4148,197000
"E05000156","Kenley","Croydon","South",6.5,-0.104157,51.318456,0.09,12.64,2200,39.6,2315.4,12293,2673,33.1,6015,1483,4536,4453,274750
"E05000157","New Addington","Croydon","South",2.4,-0.009946,51.341237,0.28,19.14,2000,31.2,4520.8,9299,1502,0,4061,1033,3028,1977,186500
"E05000158","Norbury","Croydon","Central",2.5,-0.118948,51.410805,0.16,27.5,2100,16.1,6620,9294,7182,18.1,6199,1610,4608,3711,242500
"E05000159","Purley","Croydon","South",4.2,-0.116662,51.340433,0.1,19.49,4600,3.8,3488.1,11226,3381,38,5847,1974,3877,4165,272000
"E05000160","Sanderstead","Croydon","South",6.3,-0.080672,51.331218,0.07,8.86,1700,48.6,2039.7,11021,1756,42.5,4962,606,4356,4153,310000
"E05000161","Selhurst","Croydon","South",2.3,-0.092294,51.389626,0.26,44.79,6300,18.3,7891.3,10839,7248,1.2,7704,4094,3676,3133,165000
"E05000162","Selsdon and Ballards","Croydon","South",6.4,-0.061045,51.34344,0.04,8.94,1900,55.2,1835.9,9882,1837,32.9,4518,283,4236,4068,287500
"E05000163","Shirley","Croydon","South",2.8,-0.038285,51.375428,0.14,14.82,1500,16,5125,11473,2823,21.4,5668,1433,4237,4132,270000
"E05000164","South Norwood","Croydon","South",2.4,-0.078203,51.405437,0.21,42.33,2400,17.5,6916.7,11217,5301,3.4,7822,5113,2812,3786,180000
"E05000165","Thornton Heath","Croydon","South",1.7,-0.095546,51.403372,0.22,36.71,2500,11.2,9764.7,10315,6224,1.1,6708,2555,4186,3609,195000
"E05000166","Upper Norwood","Croydon","Central",2.6,-0.098735,51.414625,0.2,33.66,2800,19.5,6211.5,10629,5453,8.8,6604,2960,3678,3675,245000
"E05000167","Waddon","Croydon","South",3.6,-0.111538,51.361036,0.21,36.78,6900,32.6,4763.9,11932,5145,4.7,7293,3379,3954,3581,198000
"E05000168","West Thornton","Croydon","South",2,-0.118943,51.392147,0.19,36.21,7300,17.7,8775,9353,8136,1.1,6226,1886,4368,3398,195000
"E05000169","Woodside","Croydon","South",2.2,-0.066275,51.393479,0.21,34.15,1400,33.3,7636.4,11994,4749,0.7,7107,2504,4617,3822,191000
"E05000170","Acton Central","Ealing","West",1.8,-0.270729,51.514905,0.21,41.85,2500,24.2,8583.3,7979,7448,20.4,6381,3894,2586,2597,331500
"E05000171","Cleveland","Ealing","West",2.2,-0.322713,51.523606,0.19,27.42,2200,34.8,6636.4,8793,5765,30.1,5814,2983,2854,3163,361500
"E05000172","Dormers Wells","Ealing","West",2.3,-0.3616,51.515862,0.27,34.73,1500,47.3,6065.2,6118,7792,0.2,4413,1808,2633,2161,241000
"E05000173","Ealing Broadway","Ealing","West",1.9,-0.309621,51.517071,0.11,31.79,12100,6.1,7394.7,7813,6216,32.1,6220,4515,1913,2791,339000
"E05000174","Ealing Common","Ealing","West",2.1,-0.295461,51.506862,0.13,34.44,2900,22.2,6690.5,7981,6038,26.8,5856,3450,2573,2792,342000
"E05000175","East Acton","Ealing","West",4.3,-0.260537,51.521548,0.22,38.83,16600,19.6,4360.5,8533,10173,12,7321,4433,2925,2991,278000
"E05000176","Elthorne","Ealing","West",2,-0.333877,51.505074,0.18,35.89,3500,34.2,7300,8643,5896,6.6,6194,3256,2996,3059,336500
"E05000177","Greenford Broadway","Ealing","West",2.5,-0.363299,51.532301,0.26,36.73,4600,26.2,7080,9059,8566,0.9,6501,3396,3136,3227,207500
"E05000178","Greenford Green","Ealing","West",3.4,-0.348596,51.542307,0.15,27.03,8300,22.6,4235.3,7162,7187,0.7,5136,1508,3630,3192,250000
"E05000179","Hanger Hill","Ealing","West",3.3,-0.292985,51.526178,0.09,27.45,8300,26.7,4727.3,7300,8261,38,6281,3057,3277,3414,370000
"E05000180","Hobbayne","Ealing","West",2.2,-0.340758,51.519369,0.2,24.45,1200,36.1,6477.3,8435,5794,5.6,5386,1957,3453,2887,285000
"E05000181","Lady Margaret","Ealing","West",1.5,-0.370606,51.523041,0.18,22.63,800,19.4,9300,6125,7772,0.3,4070,497,3585,2772,250000
"E05000182","Northfield","Ealing","West",1.5,-0.315193,51.498441,0.07,29.09,2000,25.6,9033.3,8621,4896,14.7,5388,1830,3561,3505,450000
